name,gender,origin
Totuk,m,tr
Toy,m,tr
Toyboğa,m,tr
Toycan,m,pr-tr
Toydemir,m,tr
Toydeniz,m,tr
Toygar,m,n/a
Toygun,m,tr
Toyka,m,tr
Töz,m,tr
Tozan,m,tr
Tözüm,m,tr
Tozun,m,tr
Tuana,f,n/a
Tuba,f,n/a
Tüblek,m,tr
Tufan,m,n/a
Tuğ,m,tr
Tuğal,m,tr
Tuğalp,m,tr
Tuğaltan,m,tr
Tuğaltay,m,tr
Tugay,m,tr
Tuğba,f,n/a
Tuğbay,m,tr
Tuğberk,m,tr
Tuğçe,f,n/a
Tuğcu,m,tr
Tuğhan,m,tr
Tuğkan,m,tr
Tuğkun,m,tr
Tuğlu,m,tr
Tuğluk,m,tr
Tuğra,m,n/a
Tuğrul,m,n/a
Tuğrultekin,m,tr
Tuğsan,m,tr
Tuğşat,m,n/a
Tuğsav,m,tr
Tuğsavaş,m,tr
Tuğsavul,m,tr
Tuğsavun,m,tr
Tuğsel,m,ar-tr
Tuğser,m,tr
Tuğtaş,m,tr
Tuğtay,m,tr
Tuğtekin,m,tr
Tuğyan,u,ar
Tuhfe,u,ar
Tükel,m,tr
Tükelalp,m,tr
Tükelay,m,tr
Tülay,f,n/a
Tulca,f,n/a
Tülcan,f,tr
Tülek,m,tr
Tülen,f,tr
Tulga,m,tr
Tulgar,m,tr
Tulha,u,n/a
Tülin,f,n/a
Tülinay,f,tr
Tulû,u,ar
Tulûi,m,ar
Tuluk,m,tr
Tulum,m,tr
Tulun,m,tr
Tuman,m,tr
Tümay,m,n/a
Tümbay,m,tr
Tümcan,u,pr-tr
Tümel,m,tr
Tümen,m,tr
Tümenbay,m,tr
Tümenboğa,m,tr
Tümer,m,tr
Tümerdem,m,tr
Tümerk,m,tr
Tümerkan,m,tr
Tümerkin,m,tr
Tümhan,m,tr
Tümkal,m,tr
Tümkan,m,tr
Tümkoç,m,tr
Tümkor,m,tr
Tümkurt,m,tr
Tümkut,m,tr
Tun,m,tr
Tuna,m,n/a
Tunacan,m,pr-tr
Tunaer,m,tr
Tunahan,m,n/a
Tünak,m,tr
Tunakan,m,tr
Tünal,m,tr
Tünay,u,n/a
Tünaydın,u,tr
Tunç,m,n/a
Tunca,m,n/a
Tuncal,m,tr
Tunçalın,m,tr
Tuncalp,m,tr
Tunçaral,m,tr
Tunçaslan,m,tr
Tuncay,m,n/a
Tunçbay,m,tr
Tunçbilek,m,tr
Tunçboğa,m,tr
Tunçbörü,m,tr
Tunççağ,m,tr
Tunçdemir,m,tr
Tuncel,m,n/a
Tuncer,m,n/a
Tunçhan,m,tr
Tunçkan,m,tr
Tunçkaya,m,tr
Tunçkılıç,m,tr
Tunçkol,m,tr
Tunçkurt,m,tr
Tunçok,m,tr
Tunçöven,m,tr
Tunçsoy,m,tr
Tunçtan,m,tr
Tunçtürk,m,tr
Tüner,m,tr
Tüney,m,tr
Tunga,m,tr
Tunguç,m,tr
Tüngür,f,tr
Tur,m,tr
Tura,m,tr
Türabi,m,ar
Turaç,m,n/a
Tural,m,tr
Turalp,m,tr
Turan,m,n/a
Turatekin,m,tr
Turay,m,tr
Turbay,m,tr
Turcan,m,pr-tr
Türe,m,tr
Türehan,m,tr
Türek,m,tr
Türel,m,tr
Türeli,m,tr
Türemen,m,tr
Türev,m,tr
Turfa,f,ar
Turgay,m,n/a
Türgün,m,tr
Turgut,m,n/a
Turhan,m,n/a
Turhatun,f,ar
Türk,m,tr
Türkalp,m,tr
Türkan,f,n/a
Türkaslan,m,tr
Türkay,m,n/a
Türkcan,m,pr-tr
Türkdoğan,m,tr
Türkdoğdu,m,tr
Türker,m,n/a
Türkili,m,tr
Türkine,f,pr
Türkiye,f,tr
Türkiz,u,tr
Türkkan,m,tr
Türkmen,u,tr
Türknur,f,ar-tr
Türkoğlu,m,tr
Türkol,m,tr
Türköz,m,tr
Türksan,m,tr
Türksel,m,ar-tr
Türkşen,m,tr
Türkü,f,tr
Türkyılmaz,m,tr
Turna,f,n/a
Tutam,f,n/a
Tutel,m,tr
Tuter,m,tr
Tuti,f,pr
Tutku,u,tr
Tutkun,u,tr
Tutu,m,tr
Tutuhan,m,tr
Tutuk,m,tr
Tutun,m,tr
Tutuş,m,tr
Tuvana,u,pr
Tuyan,m,tr
Tuygun,m,tr
Tuyuğ,m,tr
Tuyuk,m,tr
Tuz,m,tr
Tüze,u,tr
Tüzeer,m,tr
Tüzel,u,tr
Tüzemen,m,tr
Tüzenur,f,ar-tr
Tuzer,m,tr
Tüzmen,m,tr
Tüzün,u,tr
Tüzünalp,m,tr
Tüzüner,u,tr
Tüzünkan,u,tr
Tüzüntürk,u,tr
Übeyd,m,ar
Ubeyde,f,ar
Ubeydullah,m,ar
Ubeyt,m,ar
Übük,f,tr
Uç,m,tr
Uca,m,tr
Ucaer,m,tr
Uçan,m,tr
Uçanay,m,tr
Uçanok,m,tr
Uçantekin,m,tr
Uçantürk,m,tr
Uçar,m,tr
Uçarer,m,tr
Uçarlı,m,tr
Ucatekin,m,tr
Uçay,m,tr
Uçbay,m,tr
Uçbeyi,m,tr
Üçe,m,tr
Üçel,u,tr
Üçer,m,tr
Üçgül,f,pr-tr
Uçhan,m,tr
Üçışık,u,tr
Uçkan,m,tr
Uçkara,m,tr
Üçkök,m,tr
Uçkun,u,tr
Uçma,m,tr
Uçmak,u,tr
Uçman,m,tr
Üçok,m,tr
Uçuk,m,tr
Uçur,u,tr
Uflaz,m,tr
Üftade,f,pr
Ufuk,m,n/a
Ufukay,u,ar
Ufukdeniz,m,ar-tr
Ufuktan,m,ar-tr
Ugan,m,tr
Uğanbike,f,tr
Üge,u,tr
Ügü,m,tr
Uğur,m,n/a
Uğural,m,tr
Uğuralp,m,tr
Uğurata,m,tr
Uğuray,u,tr
Uğurcan,u,tr
Uğurel,m,tr
Uğurhan,m,tr
Uğurlu,u,tr
Uğurlubay,m,tr
Uğurlubey,m,tr
Uğurol,m,tr
Uğursal,u,tr
Uğursan,m,tr
Uğursay,m,tr
Uğursel,u,ar-tr
Uğurser,f,tr
Uğursoy,u,tr
Uğurtan,u,tr
Uğurtay,m,tr
Uğuş,u,tr
Uğut,m,tr
Uguz,m,tr
Uhuvvet,m,ar
Üke,m,tr
Ükkaşe,m,ar
Ukuş,m,tr
Ulaç,m,tr
Ulaçhan,m,tr
Ulaçkan,m,tr
Ulak,m,tr
Ulakbey,m,tr
Ulam,m,tr
Ular,m,tr
Ulaş,m,tr
Ulcan,m,tr
Ulcay,u,tr
Uldız,m,tr
Üleş,m,tr
Ülez,m,tr
Ülfer,m,ar
Ülfet,f,n/a
Ülgen,u,tr
Ülgenalp,m,tr
Ülgener,m,tr
Ülger,u,n/a
Ülgü,m,tr
Ülgür,f,tr
Ülke,f,tr
Ülkem,f,tr
Ülken,m,tr
Ülkenur,f,ar-tr
Ülker,f,n/a
Ülkü,f,n/a
Ülkücü,m,tr
Ülküdeş,u,tr
Ülkühan,f,tr
Ülkülü,m,tr
Ülküm,f,tr
Ülkümen,m,tr
Ülküsel,m,tr
Ülkütan,m,tr
Ülküye,f,tr
Ülmen,m,tr
Ulu,m,tr
Ulualp,m,tr
Uluant,m,tr
Ulubaş,m,tr
Ulubay,m,tr
Ulubek,m,tr
Uluberk,m,tr
Ulubey,m,tr
Uluç,m,n/a
Uluca,m,tr
Uluçağ,m,tr
Uluçam,m,tr
Ulucan,m,pr-tr
Uluçkan,m,tr
Uludağ,m,tr
Uludoğan,m,tr
Uluer,m,tr
Uluerkan,m,tr
Ulufer,f,pr-tr
Uluğ,m,tr
Uluğbey,m,tr
Uluhan,m,tr
Ulukaan,m,tr
Ulukan,m,tr
Ulukaya,m,tr
Ulukut,m,tr
Ulum,m,tr
Uluman,m,tr
Ulumeriç,m,tr
Ulun,u,tr
Ulunay,u,tr
Uluöz,m,tr
Ulus,m,tr
Uluşahin,m,pr-tr
Ulusal,m,tr
Ulusan,m,tr
Ulusoy,m,tr
Ulusu,m,tr
Ulutan,m,tr
Ulutaş,m,tr
Ulutay,m,tr
Ulutekin,m,tr
Ulutürk,m,tr
Ulvi,m,n/a
Ulviye,f,n/a
Ulya,f,ar
Uma,m,tr
Umaç,m,tr
Umak,m,tr
Uman,m,tr
Umar,u,tr
Umay,u,n/a
Umdu,m,tr
Ümek,m,tr
Ümit,m,n/a
Umman,u,ar
Ümmet,m,ar
Ümmiye,f,n/a
Ümmühan,f,ar-tr
Umnise,f,ar
Ümniye,f,ar
Ümran,f,n/a
Umu,m,tr
Umur,m,n/a
Umural,m,ar-tr
Umuralp,m,ar-tr
Umurbay,m,ar-tr
Umurbey,m,ar-tr
Umut,m,n/a
Umutlu,u,tr
Ün,m,tr
Ünal,m,n/a
Ünalan,m,tr
Ünaldı,m,tr
Ünalmış,m,tr
Ünalp,m,tr
Unan,m,tr
Unat,m,tr
Ünay,u,tr
Ünek,m,tr
Üner,m,tr
Ungan,m,tr
Üngördü,m,tr
Üngören,m,tr
Üngörmüş,m,tr
Üngün,m,tr
Üngür,m,tr
Ünkan,m,tr
Ünkaya,m,tr
Ünlem,m,tr
Ünlen,m,tr
Ünlü,u,tr
Ünlüer,m,tr
Ünlüol,m,tr
Ünlüsoy,m,tr
Ünsaç,u,tr
Ünsal,u,tr
Ünsan,m,tr
Ünsay,f,tr
Ünsel,f,n/a
Ünseli,f,n/a
Ünsev,u,tr
Ünseven,u,tr
Ünsever,u,tr
Ünsevin,m,tr
Ünsi,m,ar
Ünsiye,f,ar
Ünsoy,m,tr
Üntürk,m,tr
Ünübol,u,tr
Ünüçok,m,tr
Ünüdeğer,m,tr
Ünügür,m,tr
Ünüvar,m,tr
Ünver,u,tr
Ünverdi,m,tr
Ünveren,m,tr
Ünvermiş,m,tr
Ünyay,m,tr
Ünzile,f,ar
Ur,m,tr
Ural,m,tr
Uralp,m,tr
Uraltan,m,tr
Uraltay,m,tr
Uram,m,tr
Uran,m,tr
Uras,m,tr
Uraz,m,tr
Uraza,m,ar
Urazlı,m,tr
Urbeyi,m,tr
Ürek,m,tr
Ürem,m,tr
Üren,m,tr
Üresin,m,tr
Urgun,m,tr
Urhan,m,tr
Urı,m,tr
Urkan,m,tr
Ürkmez,m,tr
Ürkün,m,tr
Urluk,m,tr
Ürmegül,f,pr-tr
Ürpek,f,tr
Ürper,f,tr
Uruk,m,tr
Urun,m,tr
Ürünay,f,tr
Urundu,m,tr
Üründübay,m,tr
Urungu,m,tr
Uruş,m,tr
Uruz,m,tr
Us,m,tr
Uşak,m,tr
Usal,m,tr
Usalan,m,tr
Usalp,m,tr
Usbay,m,tr
Usberk,m,tr
Usbey,m,tr
User,m,tr
Üsgen,m,tr
Ushan,m,tr
Uskan,m,tr
Uslu,u,tr
Usluer,m,tr
Usman,m,tr
Usta,m,pr
Üstat,m,pr
Üstay,m,tr
Üstek,m,tr
Üstel,m,tr
Üster,m,tr
Üstol,m,tr
Üstün,m,tr
Üstünbay,m,tr
Üstüner,m,tr
Üstüngü,m,tr
Usuk,m,tr
Usum,m,tr
Usun,f,tr
Usunbike,f,tr
Utkan,m,tr
Utku,m,n/a
Utman,m,tr
Ütügen,m,tr
Üveys,m,ar
Uyar,m,tr
Uyaralp,m,tr
Uyarel,m,tr
Uyarer,m,tr
Üye,m,tr
Uygan,m,tr
Uygar,m,tr
Uygu,m,tr
Uygun,m,tr
Uygunel,m,tr
Uyguner,m,tr
Uygur,u,tr
Uyguralp,m,tr
Uysal,u,tr
Uytun,m,tr
Uz,m,tr
Uzalp,m,tr
Uzay,m,n/a
Uzbay,m,tr
Uzcan,m,pr-tr
Üzek,m,tr
Uzel,m,tr
Uzer,m,tr
Üzeyir,m,ar
Uzgören,m,tr
Uzhan,m,tr
Uzkan,m,tr
Uzman,m,tr
Uzmen,m,tr
Uzsan,m,tr
Uzsoy,m,tr
Uztan,m,tr
Uztaş,m,tr
Uztav,m,tr
Uztay,m,tr
Uztekin,m,tr
Uztürk,m,tr
Vacibe,f,ar
Vacide,f,ar
Vacip,m,ar
Vacit,m,ar
Vafi,m,ar
Vafir,m,ar
Vafit,m,ar
Vaha,m,ar
Vahap,m,n/a
Vahdet,m,n/a
Vahdettin,m,ar
Vahdi,m,n/a
Vahibe,f,ar
Vahid,m,n/a
Vahide,f,n/a
Vahip,m,ar
Vahit,m,n/a
Vahittin,m,ar
Vaiz,m,ar
Vâkıf,m,ar
Vakkas,m,ar
Vakur,m,ar
Vâlâ,u,pr
Vâlâşan,m,pr
Valide,f,ar
Vamık,m,ar
Vamıka,f,ar
Varal,m,tr
Varaş,m,tr
Vardar,m,tr
Vargın,m,tr
Varlık,u,tr
Varol,m,n/a
Vasfi,m,ar
Vasfiye,f,ar
Vasıf,m,ar
Vasıl,m,ar
Vasıla,f,ar
Vassaf,m,ar
Vatan,m,ar
Vataner,m,ar-tr
Vecahet,f,ar
Vecahettin,m,ar
Vecdet,m,ar
Vecdi,m,n/a
Vechi,m,ar
Vechiye,f,ar
Vecibe,f,ar
Vecih,m,ar
Veciha,f,ar
Vecihe,f,ar
Vecihi,m,n/a
Vecit,m,ar
Veda,f,ar
Vedat,m,n/a
Vedi,m,ar
Vedia,f,ar
Vedide,f,ar
Vedit,m,ar
Vefa,m,n/a
Vefai,m,ar
Vefakar,m,ar-pr
Vefi,m,ar
Vefia,f,ar
Vefik,m,ar
Vefika,f,ar
Vefki,m,ar
Vehbi,m,n/a
Vehbiye,f,ar
Vehip,m,ar
Vekil,m,ar
Velet,m,ar
Veli,m,n/a
Velican,m,ar
Velide,f,ar
Velit,m,ar
Veliye,f,ar
Veliyüddin,m,ar
Veliyullah,m,ar
Venüs,f,ar
Vera,u,n/a
Veral,m,tr
Verda,f,n/a
Verdî,m,ar
Verdinaz,f,ar
Vergi,m,tr
Vergili,m,tr
Vergin,m,tr
Verim,m,tr
Verşan,m,ar-tr
Vesamet,u,ar
Vesik,m,ar
Vesile,f,n/a
Vesim,m,ar
Veyis,m,ar
Veysel,m,n/a
Veysi,m,ar
Vicdan,f,n/a
Vicdani,m,ar
Vildan,f,n/a
Visali,m,ar
Visam,m,ar
Volkan,m,n/a
Vural,m,n/a
Vurgun,m,tr
Vuslat,f,n/a
Yabalak,m,tr
Yaban,m,tr
Yabar,m,tr
Yabgu,m,tr
Yabız,m,tr
Yada,u,tr
Yadacı,m,tr
Yade,f,n/a
Yadigar,u,pr
Yafes,m,ar
Yağan,u,tr
Yağın,m,tr
Yağınalp,m,tr
Yağış,f,tr
Yağısıyan,m,tr
Yağız,m,n/a
Yağızalp,m,tr
Yağızbay,m,tr
Yağızboğa,m,tr
Yağızer,m,tr
Yağızhan,m,tr
Yağızkan,m,tr
Yağızkurt,m,tr
Yağıztekin,m,tr
Yağmanaz,f,pr
Yağmur,u,n/a
Yağmurca,m,tr
Yahşi,u,tr
Yahşibay,m,tr
Yahşiboğa,m,tr
Yahşihan,m,tr
Yahşikan,m,tr
Yahşitay,m,tr
Yahya,m,hb
Yakub,m,n/a
Yakup,m,n/a
Yakut,m,n/a
Yalabuk,m,tr
Yalap,m,tr
Yalav,u,tr
Yalavaç,m,tr
Yalaz,m,tr
Yalaza,f,tr
Yalazabay,m,tr
Yalazahan,m,tr
Yalazakan,m,tr
Yalazalp,m,tr
Yalazan,u,tr
Yalazay,u,tr
Yalçın,m,tr
Yalçıner,m,tr
Yalçınkaya,m,tr
Yalçuk,u,tr
Yaldırak,m,tr
Yaldırım,m,tr
Yaldız,f,tr
Yalgı,m,tr
Yalgın,m,tr
Yalgınay,m,tr
Yalım,m,n/a
Yalın,m,n/a
Yalınalp,m,tr
Yalınay,u,tr
Yalkı,m,tr
Yalkın,m,tr
Yalmaç,m,tr
Yalman,m,tr
Yalt,m,tr
Yaltır,m,tr
Yaltırak,u,tr
Yaltıray,u,tr
Yalvaç,m,tr
Yamaç,m,tr
Yaman,m,n/a
Yamaner,m,tr
Yamanöz,m,tr
Yamansoy,m,tr
Yamantürk,m,tr
Yamanyiğit,m,tr
Yamçı,m,tr
Yanaç,m,tr
Yanal,m,tr
Yanar,m,tr
Yanbek,m,tr
Yanbey,m,tr
Yandil,m,pr
Yangâr,m,pr
Yanık,m,tr
Yanıker,m,tr
Yankı,u,tr
Yapalak,m,tr
Yapıncak,f,tr
Yaprak,f,n/a
Yâr,f,pr
Yararer,m,tr
Yaraşık,u,tr
Yârcan,f,pr
Yardak,m,tr
Yaren,u,pr
Yargan,m,tr
Yargı,m,tr
Yarıdil,f,pr
Yarkan,m,tr
Yarkaya,m,tr
Yarkın,u,tr
Yarlık,m,tr
Yarluk,m,tr
Yarpuz,f,tr
Yaruk,m,tr
Yasa,m,tr
Yaşam,u,tr
Yasan,m,tr
Yaşanur,u,ar-tr
Yaşar,m,n/a
Yaşartürk,m,tr
Yasavul,m,tr
Yaşdaş,m,tr
Yasemin,f,pr
Yaser,m,ar
Yasin,m,n/a
Yasir,m,n/a
Yaşık,u,tr
Yaşıl,f,tr
Yaşıyan,f,tr
Yaşlak,m,tr
Yasun,m,tr
Yatman,m,tr
Yatuk,m,tr
Yavaş,m,tr
Yaver,m,pr
Yavuz,m,n/a
Yavuzalp,m,tr
Yavuzay,m,tr
Yavuzbay,m,tr
Yavuzboğa,m,tr
Yavuzcan,m,pr-tr
Yavuzer,m,tr
Yavuzhan,m,tr
Yavuzsoy,m,tr
Yay,m,tr
Yayak,m,tr
Yayalp,m,tr
Yaybörü,m,tr
Yaybüke,m,tr
Yaygır,m,tr
Yayla,u,tr
Yaylagül,f,pr-tr
Yaylak,m,tr
Yazan,m,tr
Yazar,m,tr
Yazgan,m,tr
Yazganalp,m,tr
Yazgı,m,tr
Yazgül,f,pr-tr
Yazgülü,f,pr-tr
Yazık,m,tr
Yazır,m,tr
Yeda,u,n/a
Yedier,m,tr
Yediger,m,tr
Yediveren,f,tr
Yegâh,f,pr
Yegân,m,pr
Yegâne,f,pr
Yeğin,m,tr
Yeğiner,m,tr
Yeğrek,m,tr
Yekta,m,n/a
Yel,m,tr
Yelal,m,tr
Yelbay,m,tr
Yelboğa,m,tr
Yelda,f,pr
Yeldan,m,tr
Yelen,m,tr
Yeler,m,tr
Yelesen,m,tr
Yeleser,m,tr
Yeliz,f,n/a
Yeltekin,m,tr
Yemen,m,ar
Yemliha,m,ar
Yenal,m,ar
Yenay,m,tr
Yenel,m,ar
Yenen,m,tr
Yener,m,tr
Yeneral,m,tr
Yenerol,m,tr
Yengi,m,tr
Yenigül,f,pr-tr
Yenin,m,tr
Yenisu,m,tr
Yepelek,f,tr
Yerel,m,tr
Yergin,m,tr
Yerik,m,tr
Yersel,m,tr
Yertan,m,tr
Yesari,m,ar
Yeşil,u,tr
Yeşim,f,n/a
Yeşne,u,tr
Yesügey,m,tr
Yeten,m,tr
Yetener,m,tr
Yeter,u,n/a
Yeterkız,f,tr
Yetik,m,tr
Yetim,m,ar
Yetiş,m,tr
Yetişal,m,tr
Yetişen,m,tr
Yetkin,m,n/a
Yetkiner,m,tr
Yezdan,m,pr
Yiğit,m,n/a
Yiğitcan,m,tr
Yiğitel,m,tr
Yiğiter,m,tr
Yiğithan,m,n/a
Yiğitkan,m,tr
Yinanç,m,tr
Yipek,f,tr
Yıbar,m,tr
Yılay,f,tr
Yılbay,m,tr
Yıldanur,f,ar-tr
Yıldıku,f,ar-tr
Yıldır,m,tr
Yıldıralp,m,tr
Yıldıran,m,tr
Yıldıraner,m,tr
Yıldıray,m,n/a
Yıldırer,m,tr
Yıldırım,m,n/a
Yıldız,f,n/a
Yıldızhan,u,tr
Yılgül,f,pr-tr
Yılgün,f,tr
Yılhan,m,tr
Yılkan,m,tr
Yılma,m,tr
Yılmaz,m,n/a
Yılmazok,m,tr
Yılşen,f,tr
Yıpar,u,tr
Yoğun,m,tr
Yoğunay,m,tr
Yola,m,tr
Yolaç,m,tr
Yolal,m,tr
Yolbul,m,tr
Yoldaş,m,tr
Yoma,m,tr
Yomut,m,tr
Yön,m,tr
Yönal,u,tr
Yonca,f,tr
Yöner,m,tr
Yönet,m,tr
Yönetken,m,tr
Yönetmen,m,tr
Yöntem,m,tr
Yordam,m,tr
Yordamlı,m,tr
Yoruç,m,tr
Yörük,m,tr
Yosma,f,tr
Yosun,u,n/a
Yüce,u,tr
Yücealp,m,tr
Yücebaş,m,tr
Yücedağ,m,tr
Yüceer,m,tr
Yücel,m,n/a
Yücelay,m,tr
Yücelen,u,tr
Yücelt,m,tr
Yücelten,m,tr
Yücenur,f,ar-tr
Yücesan,m,tr
Yücesoy,m,tr
Yücetekin,m,tr
Yücetürk,m,tr
Yudum,f,tr
Yüğrük,m,tr
Yüksel,m,n/a
Yükselen,f,tr
Yula,m,tr
Yuluğ,m,tr
Yülük,m,tr
Yumlu,m,tr
Yümni,m,ar
Yümniye,f,ar
Yumuk,f,tr
Yümun,m,ar
Yumuş,m,tr
Yunt,m,tr
Yunus,m,n/a
Yura,m,tr
Yurdaal,f,tr
Yurdaay,m,tr
Yurdacan,m,pr-tr
Yurdaer,m,tr
Yurdagül,f,n/a
Yurdakul,m,n/a
Yurdal,m,tr
Yurdanur,u,tr
Yurdaşen,u,tr
Yurdaser,f,pr-tr
Yurdatap,f,tr
Yurday,f,tr
Yurdum,f,tr
Yurduşen,m,tr
Yurdusev,u,tr
Yürekli,m,tr
Yurt,u,tr
Yurtal,m,tr
Yurtbay,m,tr
Yurtcan,m,pr-tr
Yurter,m,tr
Yurtgüven,m,tr
Yurtkulu,m,tr
Yurtkuran,m,tr
Yurtman,m,tr
Yurtsal,m,tr
Yurtsan,u,tr
Yurtsay,f,tr
Yurtsev,u,tr
Yurtseven,u,tr
Yurtsever,u,tr
Yurtsevil,f,tr
Yurtsevin,f,tr
Yurttaş,m,tr
Yürük,m,tr
Yürüker,m,tr
Yuşa,m,n/a
Yüsra,f,ar
Yusuf,m,n/a
Yüzüak,m,tr
Zabit,m,ar
Zade,m,pr
Zafer,m,n/a
Zafir,m,ar
Zafire,f,ar
Zağnos,m,tr
Zahide,f,ar
Zahir,m,ar
Zahire,f,ar
Zahit,m,ar
Zaide,f,ar
Zaik,m,ar
Zaika,f,ar
Zaim,m,ar
Zait,m,ar
Zaki,m,ar
Zakir,m,ar
Zakire,f,ar
Zaman,m,ar
Zambak,f,ar
Zamir,m,ar
Zamire,f,ar
Zarif,u,ar
Zarife,f,ar
Zati,m,ar
Zatinur,f,ar
Zatiye,f,ar
Zebercet,f,ar
Zehra,f,ar
Zekai,m,ar
Zekavet,f,n/a
Zekayi,m,tr
Zekeriya,m,ar
Zeki,m,n/a
Zekire,f,ar
Zekiye,f,ar
Zeliha,f,n/a
Zemin,m,pr
Zemzem,f,ar
Zengin,m,pr
Zennişan,f,ar-pr
Zennur,f,ar
Zerafet,f,ar
Zerefşan,f,pr
Zeren,u,tr
Zergûn,f,pr
Zeria,f,ar
Zerin,m,pr
Zernişan,f,pr
Zerrin,f,n/a
Zerrinkâr,f,pr
Zerrintaç,f,pr
Zerrişte,f,pr
Zeycan,m,pr
Zeyneddin,m,ar
Zeynel,m,ar
Zeynelabidin,m,ar
Zeynep,f,ar
Zeyni,m,ar
Zeyniye,f,ar
Zeyno,f,tr
Zeynullah,m,ar
Zeynur,m,ar
Zeyrek,m,pr
Zeyyat,m,ar
Ziba,f,pr
Zican,f,pr
Zihni,m,ar
Zihniye,f,ar
Zikir,m,ar
Zikri,f,n/a
Zikrullah,m,ar
Zinet,f,ar
Zinnur,m,ar
Zinnure,f,ar
Zişan,u,ar
Ziver,u,pr
Ziverbey,m,tr
Ziya,m,n/a
Ziyaeddin,m,ar
Ziyafet,f,ar
Ziyat,m,ar
Ziynet,f,ar
Ziyneti,f,ar
Ziynetullah,m,ar
Zobu,m,tr
Zoral,m,tr
Zorbey,m,tr
Zorlu,m,tr
Zübeyde,f,n/a
Zübeyir,m,ar
Zübeyr,m,ar
Zuhal,f,n/a
Zühdi,m,ar
Züheyr,m,ar
Zühre,f,ar
Zühtiye,f,ar
Zühtü,m,ar
Zuhur,m,ar
Zuhuri,m,ar
Zülal,f,ar
Züleyha,f,ar
Zülfa,u,n/a
Zülfi,m,pr
Zülfibar,f,pr
Zülfikar,m,n/a
Zülfiyar,f,pr
Zülfiye,f,pr
Zülfizar,f,pr
Zülfü,u,pr
Zülfübar,f,pr
Zülfüyar,f,pr
Zülfüye,f,pr
Zülfüzar,f,pr
Zülkarneyn,m,n/a
Zülkif,m,ar
Zülküf,m,ar
Zümer,m,ar
Zümra,f,n/a
Zümrüt,f,n/a
Zürriyet,m,ar
